Nama Restaurant,Rating,Tipe Restaurant,Price,Daerah,Label
What's Up Caf̩,4,"Makanan Jalanan, Desserts, Indonesia",40000,"Tebet, Jakarta",1
First Scoop,3.8,Ice Cream,40000,"Pelaspas Dharmawangsa, Dharmawangsa, Jakarta",1
Monochrome Coffee Roastery,3.8,"Kopi, Barat",40000,"Kemang Village, Kemang, Jakarta",1
Kopi Sakti,3.7,"Kopi, Desserts",40000,"Kemang, Jakarta",1
Lenma Coffee,3.7,Kopi,40000,"Tebet, Jakarta",1
Brookland Coffee,3.1,"Kafe, Kopi",40000,"Dharmawangsa, Jakarta",1
Sangkala Coffee,3.7,"Kopi, Beverages",40000,"Kemang, Jakarta",1
Burger Plan,3.7,Burger,40000,"Senopati, Jakarta",1
Darling Habit,4.1,"Kafe, Barat, Kopi, Tea",40000,"Tebet, Jakarta",1
Toko Kopi Tuku,4.7,"Kopi, Beverages",40000,"Pasar Santa, Senopati, Jakarta",1
Warung Fotkop,3.9,"Kafe, Kopi",40000,"Fatmawati, Jakarta",1
Over Limit Kafe,4.7,Kafe,40000,"Kebayoran Lama, Jakarta",1
Waroeng Steak And Shake,2.5,Steak,40000,"Tebet, Jakarta",1
Pizzza Dealer,3.7,Pizza,40000,"Pelaspas Dharmawangsa, Dharmawangsa, Jakarta",1
Moss Kafe,3.2,"Kafe, Itali, Barat",40000,"Moss Kafe, Lebak Bulus, Jakarta",1
Warung Pindang Kikil,3.9,"Indonesia, Jawa",40000,"Cilandak, Jakarta",1
Soto Dudu,4.2,"Soto, Indonesia",40000,"Lebak Bulus, Jakarta",1
Aroma Daun Sefood,4.9,Seafood,40000,"Pondok Indah, Jakarta",1
Roti Bakar 88,3.8,"Desserts, Makanan Jalanan, Indonesia",40000,"Jagakarsa, Jakarta",1
Pyro Coffee House and Roastery,3.9,"Kopi, Itali",40000,"Fatmawati, Jakarta",1
Ngoepi,3.5,"Kafe, Kopi",40000,"Fatmawati, Jakarta",1
Ayam Bakar Wong Solo,3.7,Jawa,43000,"Tebet, Jakarta",1
Bake-a-Boo,4,"Kopi, Tea, Roti",43000,"Senopati, Jakarta",1
Shihlin,3.9,"Makanan Jalanan, Taiwanese",45000,"Pacific Place, SCBD, Jakarta",1
Takoyaki Naruto,4,Jepang,45000,"Melawai, Jakarta",1
Mie Aceh Setiabudi,3.7,"Bakmi, Aceh",45000,"Setiabudi, Jakarta",1
Pecel Lele Lela,3.8,Jawa,45000,"Tebet, Jakarta",1
Kebab Cuy!,2.6,Kebab,45000,"Mampang Prapatan, Jakarta",1
